SEQ,CREATE_DATE,HEAT_NO,GRADE,STEEL_NAME,SPEC_ABBSYM,CAST_SPEED,STRAND_NO,TOUCH_SETTING,REAL_CUT_LENGTH,EA_WGT,REAL_WEIGHT,SHIFT_ID,ITEM_CODE,STEEL_GRP
8185263,20230705062927,4G8154, , ,0AM3**,0.62,6,10350,10060,6137550,6162,D,BB300,일반강
8185283,20230705063014,4G8154, , ,0AM3**,0.617,5,10350,10190,6137550,6168,D,BB300,일반강
8185303,20230705063311,4G8154, , ,0AM3**,0.619,2,10350,10280,6137550,6166,D,BB300,일반강
8185323,20230705063440,4G8154, , ,0AM3**,0.62,1,10350,10250,6137550,6180,D,BB300,일반강
8185324,20230705063223,4G8154, , ,0AM3**,0.62,4,10350,10230,6137550,6180,D,BB300,일반강
8185343,20230705064713,4G8154, , ,0AM3**,0.619,3,10350,10090,6137550,6192,D,BB300,일반강
8185363,20230705064537,4G8154, , ,0AM3**,0.62,6,10350,10060,6137550,6152,D,BB300,일반강
8185383,20230705064624,4G8154, , ,0AM3**,0.618,5,10350,10190,6137550,6152,D,BB300,일반강
8185403,20230705064921,4G8154, , ,0AM3**,0.62,2,10350,10280,6137550,6190,D,BB300,일반강
8185423,20230705065050,4G8154, , ,0AM3**,0.622,1,10350,10250,6137550,6188,D,BB300,일반강
8185443,20230705064834,4G8154, , ,0AM3**,0.619,4,10350,10230,6137550,6220,D,BB300,일반강
8185463,20230705070322,4G8155, , ,0AM3**,0.624,3,10350,10050,6137550,6220,D,BB300,일반강
8185483,20230705070148,4G8155, , ,0AM3**,0.62,6,10350,10040,6137550,6194,D,BB300,일반강
8185503,20230705070235,4G8155, , ,0AM3**,0.619,5,10350,10200,6137550,6196,D,BB300,일반강
8185523,20230705070533,4G8155, , ,0AM3**,0.619,2,10350,10250,6137550,6156,D,BB300,일반강
8185524,20230705070619,4G8155, , ,0AM3**,0.619,1,10350,10200,6137550,6198,D,BB300,일반강
8185543,20230705070445,4G8155, , ,0AM3**,0.619,4,10350,10150,6137550,6186,D,BB300,일반강
8185563,20230705072711,4G8155, , ,0AM3**,0.622,3,10350,9980,6137550,6152,D,BB300,일반강
8185583,20230705072303,4G8155, , ,0AM3**,0.619,6,10350,9980,6137550,6128,D,BB300,일반강
8185603,20230705072623,4G8155, , ,0AM3**,0.621,5,10350,10150,6137550,6148,D,BB300,일반강
8185623,20230705073008,4G8155, , ,0AM3**,0.618,1,10350,10190,6137550,6132,D,BB300,일반강
8185624,20230705072834,4G8155, , ,0AM3**,0.619,4,10350,10120,6137550,6154,D,BB300,일반강
8185625,20230705072921,4G8155, , ,0AM3**,0.619,2,10350,10280,6137550,6184,D,BB300,일반강
8185643,20230705073547,4G8155, , ,0AM3**,0.619,3,10350,9980,6137550,6134,D,BB300,일반강
8185663,20230705073412,4G8155, , ,0AM3**,0.62,6,10350,9980,6137550,6162,D,BB300,일반강
8185683,20230705073459,4G8155, , ,0AM3**,0.619,5,10350,10150,6137550,6158,D,BB300,일반강
8185703,20230705073844,4G8155, , ,0AM3**,0.621,1,10350,10190,6137550,6126,D,BB300,일반강
8185704,20230705073710,4G8155, , ,0AM3**,0.619,4,10350,10120,6137550,6142,D,BB300,일반강
8185723,20230705073757,4G8155, , ,0AM3**,0.619,2,10350,10280,6137550,6188,D,BB300,일반강
8185743,20230705075138,4G8156, , ,0AM3**,0.615,3,10350,9980,6137550,6190,C,BB300,일반강
8185763,20230705075002,4G8156, , ,0AM3**,0.62,6,10350,9980,6137550,6204,C,BB300,일반강
8185783,20230705075050,4G8156, , ,0AM3**,0.618,5,10350,10150,6137550,6204,C,BB300,일반강
8185803,20230705075435,4G8156, , ,0AM3**,0.622,1,10350,10220,6137550,6194,C,BB300,일반강
8185804,20230705075300,4G8156, , ,0AM3**,0.619,4,10350,10120,6137550,6160,C,BB300,일반강
8185823,20230705075348,4G8156, , ,0AM3**,0.619,2,10350,10240,6137550,6178,C,BB300,일반강
8185843,20230705080745,4G8156, , ,0AM3**,0.62,3,10350,9980,6137550,6196,C,BB300,일반강
8185863,20230705080609,4G8156, , ,0AM3**,0.621,6,10350,9980,6137550,6184,C,BB300,일반강
8185883,20230705080657,4G8156, , ,0AM3**,0.62,5,10350,10150,6137550,6172,C,BB300,일반강
8185903,20230705081042,4G8156, , ,0AM3**,0.623,1,10350,10220,6137550,6212,C,BB300,일반강
8185904,20230705080907,4G8156, , ,0AM3**,0.62,4,10350,10120,6137550,6180,C,BB300,일반강
8185923,20230705080955,4G8156, , ,0AM3**,0.619,2,10350,10240,6137550,6196,C,BB300,일반강
8185943,20230705082348,4G8156, , ,0AM3**,0.623,3,10350,9950,6137550,6156,C,BB300,일반강
8185963,20230705082213,4G8156, , ,0AM3**,0.621,6,10350,9950,6137550,6128,C,BB300,일반강
8185983,20230705082300,4G8156, , ,0AM3**,0.619,5,10350,10120,6137550,6164,C,BB300,일반강
8186003,20230705082645,4G8156, , ,0AM3**,0.621,1,10350,10170,6137550,6152,C,BB300,일반강
8186004,20230705082511,4G8156, , ,0AM3**,0.619,4,10350,10090,6137550,6120,C,BB300,일반강
8186023,20230705082557,4G8156, , ,0AM3**,0.619,2,10350,10210,6137550,6164,C,BB300,일반강
8186043,20230705084003,4G8156, , ,0AM3**,0.619,3,10350,9950,6137550,6120,C,BB300,일반강
8186063,20230705083828,4G8156, , ,0AM3**,0.618,6,10350,9950,6137550,6126,C,BB300,일반강
8186083,20230705083915,4G8156, , ,0AM3**,0.619,5,10350,10120,6137550,6162,C,BB300,일반강
8186103,20230705084126,4G8156, , ,0AM3**,0.619,4,10350,10090,6137550,6136,C,BB300,일반강
8186104,20230705084301,4G8156, , ,0AM3**,0.62,1,10350,10170,6137550,6176,C,BB300,일반강
8186123,20230705084214,4G8156, , ,0AM3**,0.62,2,10350,10250,6137550,6190,C,BB300,일반강
8186143,20230705085533,4G8157, , ,0AM3**,0.619,3,10350,9950,6137550,6130,C,BB300,일반강
8186163,20230705085359,4G8157, , ,0AM3**,0.621,6,10350,9950,6137550,6134,C,BB300,일반강
8186183,20230705085446,4G8157, , ,0AM3**,0.62,5,10350,10120,6137550,6186,C,BB300,일반강
8186203,20230705085720,4G8157, , ,0AM3**,0.62,4,10350,10090,6137550,6162,C,BB300,일반강
8186204,20230705085854,4G8157, , ,0AM3**,0.62,1,10350,10170,6137550,6182,C,BB300,일반강
8186223,20230705085807,4G8157, , ,0AM3**,0.619,2,10350,10250,6137550,6208,C,BB300,일반강
8186243,20230705091236,4G8157, , ,0AM3**,0.619,3,10350,9950,6137550,6134,C,BB300,일반강
8186263,20230705091103,4G8157, , ,0AM3**,0.624,6,10350,9950,6137550,6138,C,BB300,일반강
8186283,20230705091148,4G8157, , ,0AM3**,0.619,5,10350,10090,6137550,6166,C,BB300,일반강
8186303,20230705091358,4G8157, , ,0AM3**,0.619,4,10350,10090,6137550,6156,C,BB300,일반강
8186304,20230705091532,4G8157, , ,0AM3**,0.618,1,10350,10170,6137550,6188,C,BB300,일반강
8186323,20230705091444,4G8157, , ,0AM3**,0.62,2,10350,10220,6137550,6184,C,BB300,일반강
8186343,20230705092805,4G8157, , ,0AM3**,0.62,3,10350,9950,6137550,6146,C,BB300,일반강
8186363,20230705092630,4G8157, , ,0AM3**,0.62,6,10350,9950,6137550,6150,C,BB300,일반강
8186383,20230705092718,4G8157, , ,0AM3**,0.618,5,10350,10090,6137550,6160,C,BB300,일반강
8186403,20230705092951,4G8157, , ,0AM3**,0.618,4,10350,10090,6137550,6160,C,BB300,일반강
8186404,20230705093125,4G8157, , ,0AM3**,0.62,1,10350,10170,6137550,6172,C,BB300,일반강
8186423,20230705093039,4G8157, , ,0AM3**,0.619,2,10350,10220,6137550,6182,C,BB300,일반강
8186443,20230705093908,4G8157, , ,0AM3**,0.62,3,10350,9970,6137550,6166,C,BB300,일반강
8186463,20230705094434,4G8158, , ,0AM3**,0.62,6,10350,9950,6137550,6146,C,BB300,일반강
8186483,20230705094523,4G8158, , ,0AM3**,0.621,5,10350,10090,6137550,6130,C,BB300,일반강
8186503,20230705094610,4G8158, , ,0AM3**,0.619,4,10350,8230,6137550,6160,C,BB300,일반강
8186523,20230705094845,4G8158, , ,0AM3**,0.619,1,10350,10170,6137550,6134,C,BB300,일반강
8186543,20230705094758,4G8158, , ,0AM3**,0.619,2,10350,10220,6137550,6134,C,BB300,일반강
8186563,20230705095659,4G8158, , ,0AM3**,0.619,3,10350,9970,6137550,6172,C,BB300,일반강
8186583,20230705095611,4G8158, , ,0AM3**,0.62,6,10350,9950,6137550,6144,C,BB300,일반강
8186603,20230705100501,4G8158, , ,0AM3**,0.619,4,8490,8270,5034570,5044,C,BB300,일반강
8186623,20230705100252,4G8158, , ,0AM3**,0.619,5,10350,10090,6137550,6130,C,BB300,일반강
8186643,20230705100548,4G8158, , ,0AM3**,0.62,2,8490,8400,5034570,5068,C,BB300,일반강
8186663,20230705100339,4G8158, , ,0AM3**,0.619,1,10350,10170,6137550,6154,C,BB300,일반강
8186683,20230705101216,4G8158, , ,0AM3**,0.619,3,8490,8160,5034570,5054,C,BB300,일반강
8186703,20230705101042,4G8158, , ,0AM3**,0.619,6,8490,8140,5034570,5036,C,BB300,일반강
8186723,20230705101129,4G8158, , ,0AM3**,0.618,4,8490,8270,5034570,5054,C,BB300,일반강
