SEQ,HEAT_NO,STRAND_NO,MARKING_CODE,CUT_START_TIME,CUT_END_TIME,MOLD_START_TIME,MOLD_END_TIME,TORCH_LENGTH,CAST_LENGTH,CAST_SPEED,REAL_CUT_LENGTH,WEIGHT
8184643,4G8152,3,4G815231026003O,2023/07/05 04:25:28,2023/07/05 04:29:22,2023/07/05 03:34:29,2023/07/05 03:38:23,10260,132,0.559,10140,6122
8184623,4G8152,2,4G815221026003O,2023/07/05 04:25:18,2023/07/05 04:29:04,2023/07/05 03:34:19,2023/07/05 03:38:05,10260,132,0.559,10280,6094
8184723,4G8152,6,4G815261026004O,2023/07/05 04:43:08,2023/07/05 04:46:57,2023/07/05 03:57:05,2023/07/05 04:00:54,10260,142,0.619,10120,6102
8184704,4G8152,3,4G815231026004O,2023/07/05 04:42:51,2023/07/05 04:46:32,2023/07/05 03:56:53,2023/07/05 04:00:34,10260,142,0.62,10140,6108
8184703,4G8152,2,4G815221026004O,2023/07/05 04:42:58,2023/07/05 04:46:31,2023/07/05 03:56:51,2023/07/05 04:00:24,10260,142,0.618,10280,6114
8184724,4G8152,5,4G815251026004O,2023/07/05 04:43:23,2023/07/05 04:47:00,2023/07/05 03:57:20,2023/07/05 04:00:57,10260,142,0.619,10210,6078
8184743,4G8152,4,4G815241026004O,2023/07/05 04:43:36,2023/07/05 04:47:07,2023/07/05 03:57:38,2023/07/05 04:01:09,10260,141,0.62,10250,6128
8184763,4G8152,1,4G815211026004O,2023/07/05 04:43:49,2023/07/05 04:47:28,2023/07/05 03:57:42,2023/07/05 04:01:21,10260,142,0.618,10280,6094
8184823,4G8153,6,4G815361026001O,2023/07/05 04:59:16,2023/07/05 05:03:07,2023/07/05 04:13:18,2023/07/05 04:17:09,10260,152,0.62,10120,6100
8184783,4G8153,3,4G815331026001O,2023/07/05 04:58:56,2023/07/05 05:02:39,2023/07/05 04:12:58,2023/07/05 04:16:41,10260,152,0.62,10140,6108
8184803,4G8153,2,4G815321026001O,2023/07/05 04:59:18,2023/07/05 05:02:52,2023/07/05 04:13:20,2023/07/05 04:16:54,10260,152,0.62,10280,6098
8184824,4G8153,5,4G815351026001O,2023/07/05 04:59:33,2023/07/05 05:03:10,2023/07/05 04:13:35,2023/07/05 04:17:12,10260,152,0.62,10210,6092
8184843,4G8153,4,4G815341026001O,2023/07/05 04:59:58,2023/07/05 05:03:28,2023/07/05 04:13:55,2023/07/05 04:17:25,10260,152,0.619,10250,6114
8184863,4G8153,1,4G815311026001O,2023/07/05 05:00:04,2023/07/05 05:03:44,2023/07/05 04:14:01,2023/07/05 04:17:41,10260,152,0.619,10280,6080
8184903,4G8153,6,4G815361026002O,2023/07/05 05:15:25,2023/07/05 05:19:14,2023/07/05 04:29:14,2023/07/05 04:33:03,10260,162,0.617,10140,6088
8184883,4G8153,3,4G815331026002O,2023/07/05 05:15:01,2023/07/05 05:18:42,2023/07/05 04:28:58,2023/07/05 04:32:39,10260,162,0.619,10140,6094
